z,n,radius,abundance,half_life_sec,decay_1,decay_1_%,decay_2,decay_2_%,decay_3,decay_3_%,decay_energy,gamma_energy,atomic_mass,massexcess,source
0,1,-0.1149, ,613.9,B-,100, , , , ,,,1008664.9159,8071.31806,https://www-nds.iaea.org/relnsd/vcharthtml/VChartHTML.html
0,4, , ,1.75476044258225E-22, , , , , , ,,, ,,
0,6, , , , , , , , , ,,, ,,
1,0,0.8783,99.9855, , , , , , , ,,,1007825.031898,7288.971064,
1,1,2.1421,0.0145, , , , , , , ,,,2014101.777844,13135.722895,
1,2,1.7591, ,388781328.006973,B-,100, , , , ,0.018,,3016049.28132,14949.8109,
1,3, , , ,N,100, , , , ,,,4026431867,24621129,
1,4, , ,8.60825877493181E-23,2N,100, , , , ,,,5035311492,32892447,
1,5, , ,2.94346912949281E-22, , , , , , ,,,6044955437,41875725,
1,6, , ,5.06930794523762E-21, , , , , , ,,,7052749,49135,
2,1,1.9661,0.0002, , , , , , , ,,,3016029.32197,14931.21888,
2,2,1.6755,99.9998, , , , , , , ,,,4002603.25413,2424.91587,
2,3, , ,7.04070547949669E-22,N, , , , , ,,,5012057224,11231234,
2,4,2.066, ,0.8067,B-,100, , , , ,,,6018885889,17592095,
2,5, , ,3.04158476714257E-21,N, , , , , ,,,7027990652,26073128,
2,6,1.9239, ,0.1191,B-,100,B-N,16, , ,,,8033934388,31609683,
2,7, , , ,N,100, , , , ,,,9043946414,40935826,
2,8, , ,1.52079238357129E-21,N,100, , , , ,,,10052815306,49197147,
3,1, , , ,P,100, , , , ,,,4027185561,25323190,
3,2, , ,3.70924971602753E-22,P, , , , , ,,,5012537.8,11678887,
3,3,2.589,4.85, , , , , , , ,,,6015122.88742,14086.88044,
3,4,2.444,95.15, , , , , , , ,,,7016003.43426,14907.10463,
3,5,2.339, ,0.8399,B-,100,B-A,100, , ,,,8022486244,20945805,
3,6,2.245, ,0.1783,B-,100,B-N,50.8, , ,,,9026790191,24954905,
3,7, , , ,N,100, , , , ,,,10035483453,33052628,
3,8,2.482, ,0.00875,B-,100,B-N, , , ,,,11043723581,40728259,
3,9, , , ,N,100, , , , ,,,12052613942,49009577,
4,2, , ,4.95910559860202E-21,A,100,2P,100, , ,,,6019726409,18375034,
4,3,2.646, ,4598208,EC,100, , , , ,,,7016928714,15768998,
4,4, , ,8.19098231726007E-17,A,100, , , , ,,,8005305102,4941672,
4,5,2.519,100, , , , , , , ,,,9012183062,11348451,
4,6,2.355, ,47650958221633.9,B-,100, , , , ,,,10013534692,12607487,
4,7,2.463, ,13.76,B-,100,B-A,3.1,B-P,0.00083,,,11021661.08,20177169,
4,8, , ,0.02146,B-,100,B-N,0.5, , ,,,12026922082,25077761,
4,9, , ,2.7E-21,N, , , , , ,,,13036134506,33659080,
4,10, , ,0.00435,B-,100,B-N,81,B-2N,5,,,14042892.92,39954502,
4,11, , ,7.86616750123079E-22,N,100, , , , ,,,15053490215,49825821,
4,12, , ,5.70297143839232E-22,N,100, , , , ,,,16061672036,57447139,
5,2, , ,5.69585162386249E-22,P,100, , , , ,,,7029712,27676553,
5,3, , ,0.77,EC+B+,100,B+A,100, , ,,,8024607315,22921569,
5,4, , ,8.44884657539603E-19,P,100, , , , ,,,9013329645,12416486,
5,5,2.4277,19.65, , , , , , , ,,,10012936862,12050611,
5,6,2.406,80.35, , , , , , , ,,,11009305166,8667708,
5,7, , ,0.0202,B-,100,B-A,0.6, , ,,,12014352638,13369398,
5,8, , ,0.01733,B-,100,B-N,286, , ,,,13017779981,16561948,
5,9, , ,0.0125,B-,100,B-N,6.1, , ,,,14025404.01,23663686,
5,10, , ,0.00993,B-,100,B-N,99.68, , ,,,15031087023,28957379,
5,11, , ,4.56237715071386E-21,N,100, , , , ,,,16039841045,37111699,
5,12, , ,0.00508,B-,100,B-N,63,B-2N,11,,,17046931399,43716322,
5,13, , , ,N,100, , , , ,,,18055601683,51792640,
5,14, , ,0.00292,B-,100,B-N,71.8,B-2N,16,,,19064166,59770251,
5,15, , ,9.12475430142772E-22,N,100, , , , ,,,20074505644,69401569,
5,16, , ,7.60396191785643E-22,2N,100, , , , ,,,21084147485,78382887,
6,2, , ,3.50952088516451E-21,2P,100, , , , ,,,8037643039,35064269,
6,3, , ,0.1265,EC+B+,100,B+P,62,B+A,37.9,,,9031037202,28910971,
6,4, , ,19.29,EC+B+,100, , , , ,,,10016853217,15698673,
6,5, , ,1221.84,EC+B+,100, , , , ,,,11011432597,10649397,
6,6,2.4702,98.94, , , , , , , ,,,12000000,0,
6,7,2.4614,1.06, , , , , , , ,,,13003354.83534,3125.00933,
6,8,2.5025, ,179874478055.174,B-,100, , , , ,0.158,,14003241.98862,3019.89328,
6,9, , ,2449,B-,100, , , , ,,,15010599256,9873145,
6,10, , ,747,B-,100,B-N,99, , ,,,16014701255,13694133,
6,11, , ,193,B-,100,B-N,26, , ,,,17022578.65,21031880,
6,12, , ,92,B-,100,B-N,31.5, , ,,,18026751.93,24919266,
6,13, , ,0.0463,B-,100,B-N,47,B-2N,7,,,19034797594,32413754,
6,14, , ,0.0163,B-,100,B-N,65,B-2N,18.6,,,20040261732,37503567,
6,16, , ,0.0061,B-,100,B-N,61,B-2N,37,,,22057553.99,53611203,
7,3, , ,1.82495086028554E-22,P,100, , , , ,,,10041653.54,38800027,
7,4, , ,5.49683994061911E-22,P,100, , , , ,,,11026157593,24365644,
7,5, , ,11,EC+B+,100,B+A,1.93, , ,,,12018613.18,17338068,
7,6, , ,597.9,EC+B+,100, , , , ,1.2,,13005738609,5345481,
7,7,2.5582,99.6205, , , , , , , ,,,14003074.00425,2863.41683,
7,8,2.6058,0.3795, , , , , , , ,,,15000108.89827,101.43809,
7,9, , ,7.13,B-,100,B-A,0.0012, , ,,,16006101925,5683907,
7,10, , ,4173,B-,100,B-N,95.1,B-A,0.0025,,,17008448876,7870079,
7,11, , ,619,B-,100,B-A,12.2,B-N,12,,,18014077563,13113167,
7,12, , ,336,B-,100,B-N,41.8, , ,,,19017022389,15856255,
7,13, , ,0.1344,B-,100,B-N,42.9, , ,,,20023367295,21766498,
7,14, , ,84,B-,100,B-N,86, , ,,,21027087573,25231915,
7,15, , ,23,B-,100,B-N,34,B-2N,12,,,22034100918,31764805,
7,16, , ,0.0141,B-,100,B-N,42,B-2N,8,,,23039421,36720429,
7,17, , ,0.000000052,N, , , , , ,,,24050390,46938,
8,3, , ,3.5095208851645E-22,2P,100, , , , ,,,11051249828,47738913,
8,4, , ,6.33663493154703E-21,2P,100, , , , ,,,12034367726,32013335,
8,5, , ,0.00858,B+P,100,EC+B+,100, , ,,,13024815435,23115432,
8,6, , ,70606,EC+B+,100, , , , ,,,14008596706,8007781,
8,7, , ,122.24,EC+B+,100, , , , ,1.68,,15003065636,2855622,
8,8,2.6991,99757, , , , , , , ,,,15994914.61926,-4737.00217,
8,9,2.6932,0.03835, , , , , , , ,,,16999131.75595,-808.76421,
8,10,2.7726,0.2045, , , , , , , ,,,17999159.61214,-782.81634,
8,11, , ,26.88,B-,100, , , , ,,,19003577969,3332858,
8,12, , ,13.51,B-,100, , , , ,,,20004075357,3796172,
8,13, , ,3.42,B-,100, , , , ,,,21008654948,8062034,
8,14, , ,2.25,B-,100,B-N,22, , ,,,22009965744,9283032,
8,15, , ,97,B-,100,B-N,7, , ,,,23015696686,14621371,
8,16, , ,65,B-,100,B-N,58, , ,,,24019861,18500404,
8,18, , ,4.5E-12,2N,100, , , , ,,,26037210155,34661041,
9,4, , ,4.51720509971669E-22, , , , , , ,,,13045121,42030,
9,5, , ,5.01360126452072E-22, , , , , , ,,,14034315196,31964403,
9,6, , ,6.91269265259675E-22,P,100, , , , ,,,15017785139,16566752,
9,7, , ,1.14059428767846E-20,P,100, , , , ,,,16011460278,10675182,
9,8, , ,64.49,EC+B+,100, , , , ,,,17002095237,1951701,
9,9, , ,6586.2,EC+B+,100, , , , ,,,18000937324,873112,
9,10,2.8976,100, , , , , , , ,,,18998403.16207,-1487.44512,
9,11, , ,11.07,B-,100, , , , ,,,19999981252,-17463,
9,12, , ,4158,B-,100, , , , ,,,20999948893,-47605,
9,13, , ,4.23,B-,100,B-N,11, , ,,,22002998812,2793376,
9,14, , ,2.23,B-,100,B-N,14, , ,,,23003526875,3285263,
9,15, , ,0.39,B-,100,B-N,5.9, , ,,,24008099.37,7544516,
9,16, , ,0.08,B-,100,B-N,23.1, , ,,,25012167727,11334167,
9,17, , ,0.0082,B-,100,B-N,13.5, , ,,,26020048065,18674655,
9,18, , ,5,B-,100,B-N,77, , ,,,27026981897,25133478,
9,19, , ,4.6E-20,N,100, , , , ,,,28035860448,33403796,
9,20, , ,0.0025,B-N,100,B-,100, , ,,,29043103,40150190,
9,21, , , ,N, , , , , ,,,30052561,48960,
9,22, , ,0.00000026,B-2N, ,B-, ,B-N, ,,,31061023,56843,
10,5, , ,7.73284262832857E-22,2P,100, , , , ,,,15043172977,40215374,
10,6, , ,5.70297143839232E-21,2P,100, , , , ,,,16025750.86,23986775,
10,7,3.0413, ,0.1092,EC+B+,100,ECP,95.2,ECA,2.77,,,17017713962,16500452,
10,8,2.9714, ,1672,EC+B+,100, , , , ,,,18005708696,5317617,
10,9,3.0082, ,17.22,EC+B+,100, , , , ,,,19001880906,1752054,
10,10,3.0055,90.48, , , , , , , ,,,19992440.17525,-7041.93217,
10,11,2.9695,0.27, , , , , , , ,,,20993846685,-5731776,
10,12,2.9525,9.25, , , , , , , ,,,21991385113,-8024716,
10,13,2.9104, ,37.25,B-,100, , , , ,,,22994466905,-5154045,
10,14,2.9007, ,202.8,B-,100, , , , ,,,23993610649,-5951642,
10,15,2.9316, ,602,B-,100, , , , ,,,24997814797,-2035503,
10,16,2.9251, ,197,B-,100,B-N,0.13, , ,,,26000516496,481114,
10,17, , ,0.0315,B-,100,B-N,2, , ,,,27007569462,7050910,
10,18,2.9642, ,0.02,B-,100,B-N,12,B-2N,3.7,,,28012130767,11299738,
10,19, , ,15,B-,100,B-N,28,B-2N,4,,,29019753,18399803,
10,20, , ,0.0073,B-,100,B-N,13,B-2N,8.9,,,30024992235,23280120,
10,21, , ,0.0034,B-,100,B-N, ,B-2N, ,,,31033474816,31181594,
10,22, , ,0.0035,B-,100,B-N, , , ,,,32039720,36999,
10,23, , ,0.00000018,N, , , , , ,,,33049523,46130,
10,24, , ,0.00000006,B-, ,B-N, ,B-2N, ,,,34056728,52842,
11,6, , , , , , , , , ,,,17037273,34719580,
11,7, , ,2.28118857535693E-21,P,100, , , , ,,,18026879388,25037992,
11,8, , ,1.14059428767846E-20,P,100, , , , ,,,19013880264,12929384,
11,9,2.9718, ,0.4479,EC,100,ECA,20.05, , ,,,20007354301,6850489,
11,10,3.0136, ,22.49,EC+B+,100, , , , ,,,20997654459,-2184857,
11,11,2.9852, ,82104810.0006935,EC+B+,100, , , , ,0.54,1.28,21994437547,-5181391,
11,12,2.9936,100, , , , , , , ,,,22989769.28195,-9529.85352,
11,13,2.9735, ,53989.2,B-,100, , , , ,1.39,1.37,23990963012,-8417901,
11,14,2.9769, ,59.1,B-,100, , , , ,,,24989953974,-9357814,
11,15,2.9928, ,1.07128,B-,100, , , , ,,,25992634649,-6860780,
11,16,3.0136, ,301,B-,100,B-N,0.13, , ,,,26994076408,-5517791,
11,17,3.04, ,0.0305,B-,100,B-N,0.58, , ,,,27998939,-988315,
11,18,3.0922, ,0.0441,B-,100,B-N,21.5, , ,,,29002877091,2679994,
11,19,3.118, ,48,B-,100,B-N,30,B-2N,1.15,,,30009097931,8474670,
11,20,3.1704, ,0.01735,B-,100,B-N,37.3,B-2N,0.87,,,31013146654,12246031,
11,21, , ,0.0132,B-,100,B-N,24,B-2N,8.3,,,32020011024,18640152,
11,22, , ,8,B-,100,B-N,47,B-2N,13,,,33025529,23780113,
11,23, , ,0.0055,B-,100,B-2N,50,B-N,15,,,34034010,31680114,
11,24, , ,0.0018,B-,100,B-N,0,B-5N, ,,,35040614,37831,
11,25, , ,0.00000018,N, , , , , ,,,36049279,45903,
11,26, , ,0.00000006,B-N, ,B-, , , ,,,37057042,53134,
12,7, , ,4.00208521992444E-12,2P,100, , , , ,,,19034179.92,31838394,
12,8, , ,0.0904,B+,100,B+P,30.3, , ,,,20018763075,17477694,
12,9, , ,122,EC+B+,100,B+P,32.6,B+A,0.5,,,21011705764,10903851,
12,10, , ,3.8755,EC+B+,100, , , , ,,,21999570597,-399986,
12,11, , ,11.3046,EC+B+,100, , , , ,,,22994123768,-5473675,
12,12,3.057,78965, , , , , , , ,,,23985041689,-13933578,
12,13,3.0284,10011, , , , , , , ,,,24985836966,-13192782,
12,14,3.0337,11025, , , , , , , ,,,25982592972,-16214544,
12,15, , ,567.48,B-,100, , , , ,,,26984340647,-14586594,
12,16, , ,75294,B-,100, , , , ,,,27983875426,-15019946,
12,17, , ,1.3,B-,100, , , , ,,,28988607163,-10612360,
12,18, , ,335,B-,100, , , , ,,,29990465454,-8881373,
12,19, , ,236,B-,100,B-N,6.2, , ,,,30996648232,-3122152,
12,20, , ,86,B-,100,B-N,5.5, , ,,,31999110138,-828901,
12,21, , ,0.0905,B-,100,B-N,14, , ,,,33005327862,4962873,
12,22, , ,0.02,B-,100,B-N, , , ,,,34008935455,8323324,
12,23, , ,0.0113,B-,100,B-N,52,B-3N, ,,,35016790,15639786,
12,24, , ,0.0076,B-,100,B-N, , , ,,,36021879,20380159,
12,25, , ,8,N, ,B-N, ,B-, ,,,37030286265,28211478,
12,26, , , ,B-,100,B-2N, ,B-N, ,,,38036580,34074,
12,27, , ,0.00000018,N, , , , , ,,,39045921,42775,
12,28, , , ,B-,100,B-7N, ,B-5N, ,,,40053194,49550,
13,8, , ,0.000000035,P, , , , , ,,,21029082,27090,
13,9, , ,0.0911,EC+B+,100,B+P,55,B+2P,1.1,,,22019540,18201,
13,10, , ,446,EC+B+,100,ECP,1.04, , ,,,23007244351,6748071,
13,11, , ,2053,EC+B+,100,B+A,35,B+P,0.0016,,,23999947598,-48812,
13,12, , ,7183,EC+B+,100, , , , ,,,24990428308,-8915974,
13,13, , ,"2,26263159237825E+016",EC+B+,100, , , , ,,,25986891876,-12210139,
13,14,3.061,100, , , , , , , ,,,26981538408,-17196864,
13,15, , ,134.7,B-,100, , , , ,,,27981910009,-16850719,
13,16, , ,393.6,B-,100, , , , ,,,28980453164,-18207762,
13,17, , ,3.62,B-,100, , , , ,,,29982969171,-15864116,
13,18, , ,644,B-,100,B-N,1.6, , ,,,30983949754,-14950709,
13,19, , ,33,B-,100,B-N,0.7, , ,,,31988084338,-11099368,
13,20, , ,0.0417,B-,100,B-N,8.5, , ,,,32990877685,-8497382,
13,21, , ,0.0563,B-,100,B-N,26, , ,,,33996781924,-2997619,
13,22, , ,0.0383,B-,100,B-N,38,B-2N,0,,,34999759816,-223730,
13,23, , ,0.09,B-,100,B-N,31, , ,,,36006388,5950384,
13,24, , ,0.0107,B-,100,B-N, , , ,,,37010531,9809564,
13,25, , ,9,B-2N, ,B-N, ,B-, ,,,38017681,16470,
13,26, , ,0.0076,B-,100,B-2N, ,B-N, ,,,39023070,21490,
13,27, , ,0.00000026,B-,100,B-2N, ,B-N, ,,,40030940,28820,
13,28, , , ,B-,100,B-N, , , ,,,41037134,34590,
13,29, , ,0.00000017,B-2N, ,B-N, ,B-, ,,,42045078,41990,
13,30, , ,0.00000017,B-N, ,B-2N, ,B-, ,,,43051820,48270,
14,8, , ,29,EC+B+,100,B+P,32, , ,,,22036114,33640,
14,9, , ,0.0423,EC+B+,100,ECP,88,EC2P,3.6,,,23025711,23950,
14,10, , ,0.14,EC+B+,100,B+P,38, , ,,,24011535.43,10745186,
14,11, , ,0.22,EC+B+,100,B+P,35, , ,,,25004108798,3827322,
14,12, , ,2.2453,EC+B+,100, , , , ,,,25992333818,-7141003,
14,13, , ,4.15,EC+B+,100, , , , ,,,26986704687,-12384505,
14,14,3.1224,92.2545, , , , , , , ,,,27976926.53442,-21492.79711,
14,15,3.1176,4672, , , , , , , ,,,28976494.66434,-21895.08154,
14,16,3.1336,3.0735, , , , , , , ,,,29973770137,-24432962,
14,17, , ,9441.6,B-,100, , , , ,,,30975363196,-22949037,
14,18, , ,4954437378.01095,B-,100, , , , ,,,31974151538,-24077689,
14,19, , ,6.11,B-,100, , , , ,,,32977976964,-20514328,
14,20, , ,2.77,B-,100, , , , ,,,33978538045,-19991684,
14,21, , ,0.78,B-,100,B-N,5, , ,,,34984550111,-14391480,
14,22, , ,0.45,B-,100,B-N,10, , ,,,35986649271,-12436125,
14,23, , ,0.09,B-,100,B-N,17,B-2N, ,,,36992945191,-6571512,
14,24, , ,63,B-,100,B-N,25, , ,,,37995523,-4170299,
14,25, , ,0.0475,B-,100,B-2N, ,B-N, ,,,39002491,2320352,
14,26, , ,33,B-,100,B-N, ,B-2N, ,,,40006083641,5666876,
14,27, , ,0.02,B-,100,B-N,0, , ,,,41014171,13200,
14,28, , ,0.0125,B-,100,B-2N, ,B-N, ,,,42018078,16840,
14,29, , ,0.00000006,B-N, ,B-2N, ,B-, ,,,43026119,24330,
14,30, , ,0.00000036,B-,100,B-N, , , ,,,44031466,29310,
15,10, , ,0.00000003,P,100, , , , ,,,25021675,20190,
15,11, , ,0.0437,EC+B+,100,ECP,36.8,EC2P,2.16,,,26011780,10973,
15,12, , ,0.26,EC+B+,100,B+P,0.07, , ,,,26999292499,-659032,
15,13, , ,0.2703,EC+B+,100,ECP,0.0013,ECA,0.00086,,,27992326.46,-7147856,
15,14, , ,4142,EC+B+,100, , , , ,,,28981800368,-16952849,
15,15, , ,149.88,EC+B+,100, , , , ,,,29978313.49,-20200856,
15,16,3.1889,100, , , , , , , ,,,30973761.99768,-24440.54442,
15,17, , ,1232755.2,B-,100, , , , ,1.69,,31973907643,-24304876,
15,18, , ,2190240,B-,100, , , , ,,,32971725692,-26337350,
15,19, , ,12.43,B-,100, , , , ,,,33973645886,-24548702,
15,20, , ,47.3,B-,100, , , , ,,,34973314045,-24857809,
15,21, , ,5.6,B-,100, , , , ,,,35978259.61,-20251045,
15,22, , ,2.31,B-,100, , , , ,,,36979606942,-18996012,
15,23, , ,0.64,B-,100,B-N,12, , ,,,37984303105,-14621565,
15,24, , ,0.28,B-,100,B-N,26, , ,,,38986285865,-12774636,
15,25, , ,0.15,B-,100,B-N,15.8,B-2N, ,,,39991262221,-8139189,
15,26, , ,101,B-,100,B-N,30, , ,,,40994654,-4979767,
15,27, , ,0.0485,B-,100,B-N,50,B-2N, ,,,42001172.14,1091842,
15,28, , ,0.0365,B-,100,B-N,100,B-2N, ,,,43005411,5040,
15,29, , ,0.0185,B-, ,B-N, , , ,,,44011927,11110,
15,30, , ,0.0000002,B-, , , , , ,,,45017134,15960,
15,31, , , ,B-,100, , , , ,,,46024520,22840,
16,10, , ,0.000000079,P, , , , , ,,,26029716,27680,
16,11, , ,0.0155,EC+B+,100,B+P,2.3,B+2P,1.1,,,27018777,17491,
16,12, , ,125,EC+B+,100,ECP,20.7, , ,,,28004372762,4073203,
16,13, , ,188,EC+B+,100,ECP,47, , ,,,28996678,-3094423,
16,14, , ,1178,EC+B+,100, , , , ,,,29984906.77,-14059254,
16,15, , ,2.5534,EC+B+,100, , , , ,,,30979557002,-19042531,
16,16,3.2611,94.85, , , , , , , ,,,31972071.17354,-26015.53714,
16,17, ,763, , , , , , , ,,,32971458.90862,-26585.8583,
16,18,3.2847,4365, , , , , , , ,,,33967867011,-29931689,
16,19, , ,7548768,B-,100, , , , ,,,34969032321,-28846210,
16,20,3.2985,0.0158, , , , , , , ,,,35967080692,-30664141,
16,21, , ,303,B-,100, , , , ,,,36971125.5,-26896426,
16,22, , ,10218,B-,100, , , , ,,,37971163.3,-26861216,
16,23, , ,11.5,B-,100, , , , ,,,38975133.85,-23162672,
16,24, , ,8.8,B-,100, , , , ,,,39975482561,-22837850,
16,25, , ,1.99,B-,100,B-N, , , ,,,40979593451,-19008580,
16,26, , ,1016,B-,100,B-N,4, , ,,,41981065.1,-17637748,
16,27, , ,265,B-,100,B-N,40, , ,,,42986907635,-12195461,
16,28, , ,0.1,B-,100,B-N,18, , ,,,43990118846,-9204236,
16,29, , ,68,B-,100,B-N,54, , ,,,44996414,-3340,
16,30, , ,0.05,B-,100, , , , ,,,46000687,640,
16,32, , , ,B-, , , , , ,,,48013301,12390,
17,12, , ,0.00000002,P,100, , , , ,,,29015053,14022,
17,13, , ,0.00000003,P, , , , , ,,,30005018333,4674548,
17,14, , ,0.19,EC+B+,100,ECP,2.4, , ,,,30992448097,-7034552,
17,15, , ,298,EC+B+,100,ECA,54,ECP,26,,,31985684605,-13334706,
17,16, , ,2511,EC+B+,100, , , , ,,,32977451988,-21003340,
17,17, , ,1.5266,EC+B+,100, , , , ,,,33973762.49,-24440086,
17,18,3.3654,75.8, , , , , , , ,,,34968852694,-29013532,
17,19, , ,9508101796144.57,B-,98.1,EC+B+,1.9, , ,,,35968306822,-29522008,
17,20,3.384,24.2, , , , , , , ,,,36965902573,-31761552,
17,21, , ,2233.8,B-,100, , , , ,4.8,1.63,37968010408,-29798116,
17,22, , ,3372,B-,100, , , , ,,,38968008151,-29800218,
17,23, , ,81,B-,100, , , , ,,,39970415466,-27557818,
17,24, , ,38.4,B-,100, , , , ,,,40970684525,-27307192,
17,25, , ,6.8,B-,100, , , , ,,,41973342,-24831770,
17,26, , ,3.13,B-,100, , , , ,,,42974063.7,-24159510,
17,27, , ,0.56,B-,100,B-N,8, , ,,,43978014918,-20478973,
17,28, , ,413,B-,100,B-N,24, , ,,,44980394353,-18262544,
17,29, , ,232,B-,100,B-N,60, , ,,,45985254926,-13734949,
17,30, , ,101,B-,100,B-N,3, , ,,,46989715,-9580,
17,31, , , ,B-, , , , , ,,,47995405,-4280,
17,32, , ,0.00000017,B-, , , , , ,,,49000794,740,
17,33, , , ,B-,100,B-3N, ,B-2N, ,,,50008266,7700,
17,34, , , ,B-,100, , , , ,,,51015341,14290,
17,35, , , ,B-,100,B-6N, ,B-4N, ,,,52024004,22360,
18,12, , ,1E-11,2P,100, , , , ,,,30023694,22071,
18,13, , ,0.0144,EC,100,B+P,63,B+2P,7.2,,,31012158,11325,
18,14,3.3468, ,98,EC+B+,100,ECP,35.58, , ,,,31997637824,-2200352,
18,15,3.3438, ,173,EC+B+,100,ECP,38.7, , ,,,32989925545,-9384295,
18,16,3.3654, ,0.8438,EC+B+,100, , , , ,,,33980270092,-18378293,
18,17,3.3636, ,1.7756,EC+B+,100, , , , ,,,34975257719,-23047289,
18,18,3.3905,0.3336, , , , , , , ,,,35967545106,-30231542,
18,19,3.3908, ,3024950.4,EC,100, , , , ,,,36966776301,-30947679,
18,20,3.4028,0.0629, , , , , , , ,,,37962732102,-34714827,
18,21,3.4093, ,8457256161.19066,B-,100, , , , ,,,38964313037,-33242195,
18,22,3.4274,99.6035, , , , , , , ,,,39962383.12204,-35039.89997,
18,23,3.4251, ,6576.6,B-,100, , , , ,,,40964500.57,-33067510,
18,24,3.4414, ,1038222864.56408,B-,100, , , , ,,,41963045737,-34422678,
18,25,3.4354, ,322.2,B-,100, , , , ,,,42965636056,-32009811,
18,26,3.4454, ,712.2,B-,100, , , , ,,,43964923814,-32673260,
18,27, , ,21.48,B-,100, , , , ,,,44968039731,-29770801,
18,28,3.4377, ,8.4,B-,100, , , , ,,,45968039244,-29771255,
18,29, , ,1.23,B-,100,B-N,0.2, , ,,,46972767112,-25367274,
18,30, , ,416,B-,100,B-N,38, , ,,,47976001,-22354927,
18,31, , ,0.17,B-,100,B-N,65, , ,,,48981685,-17060,
18,32, , ,106,B-,100,B-N,37,B-2N, ,,,49985797,-13230,
18,33, , , ,B-,100, , , , ,,,50993033,-6490,
18,34, , , ,B-,100,B-3N, ,B-2N, ,,,51998519,-1380,
18,35, , ,0.00000062,B-2N, ,B-N, ,B-, ,,,53007290,6791,
19,14, , ,0.000000025,P, , , , , ,,,33008095,7540,
19,15, , ,0.000000025,P, , , , , ,,,33998690,-1220,
19,16, , ,178,EC+B+,100,ECP,0.37, , ,,,34988005406,-11172893,
19,17, , ,341,EC+B+,100,ECP,48,ECA,0.0034,,,35981301887,-17417182,
19,18, , ,1225,EC+B+,100, , , , ,,,36973375.89,-24800201,
19,19,3.4264, ,459.06,EC+B+,100, , , , ,,,37969081114,-28800760,
19,20,3.4349,93.2581, , , , , , , ,,,38963706.48482,-33807.19535,
19,21,3.4381,0.0117,3.93830436162908E+016,B-,89.28,EC+B+,10.72, , ,,,39963998165,-33535497,
19,22,3.4518,6.7302, , , , , , , ,,,40961825.25611,-35559.5488,
19,23,3.4517, ,44478,B-,100, , , , ,3.5,1.51,41962402305,-35022031,
19,24,3.4556, ,80280,B-,100, , , , ,,,42960734701,-36575394,
19,25,3.4563, ,1327.8,B-,100, , , , ,,,43961586984,-35781498,
19,26,3.4605, ,1068.6,B-,100, , , , ,,,44960691491,-36615643,
19,27,3.4558, ,105,B-,100, , , , ,,,45961981584,-35413929,
19,28,3.4534, ,17.5,B-,100, , , , ,,,46961661612,-35711982,
19,29, , ,6.8,B-,100,B-N,1.14, , ,,,47965341184,-32284482,
19,30, , ,1.26,B-,100,B-N,86, , ,,,48968210753,-29611496,
19,31, , ,472,B-,100,B-N,29,B-2N, ,,,49972380015,-25727853,
19,32, , ,365,B-,100,B-N,65, , ,,,50975828664,-22515457,
19,33, , ,0.11,B-,100,B-N,74,B-2N,2.3,,,51981602,-17137628,
19,34, , ,0.03,B-,100,B-N,67,B-2N,17,,,52986800,-12295722,
19,35, , ,0.01,B-,100,B-2N, ,B-N, ,,,53994471,-5150,
19,36, , ,0.00000036,B-N, ,B-, , , ,,,55000505,470,
19,37, , ,0.00000062,B-2N, ,B-, ,B-N, ,,,56008567,7980,
20,14, , ,0.000000035,2P, ,P, , , ,,,34015985,14890,
20,15, , ,0.0257,EC+B+,100,ECP,95.9,EC2P,4.1,,,35005572,5190,
20,16, , ,0.1012,EC+B+,100,ECP,51.2, , ,,,35993074388,-6451166,
20,17, , ,0.1811,EC+B+,100,ECP,82.1, , ,,,36985897849,-13136070,
20,18, , ,0.44376,EC+B+,100, , , , ,,,37976319223,-22058503,
20,19,3.4595, ,0.8603,EC+B+,100, , , , ,,,38970710811,-27282707,
20,20,3.4776,96941, , , , , , , ,,,39962590.85,-34846402,
20,21,3.478, ,3136758441874445,EC,100, , , , ,,,40962277905,-35137908,
20,22,3.5081,647, , , , , , , ,,,41958617.78,-38547293,
20,23,3.4954,135, , , , , , , ,,,42958766381,-38408873,
20,24,3.5179,2086, , , , , , , ,,,43955481489,-41468730,
20,25,3.4944, ,14049504,B-,100, , , , ,0.26,,44956186.27,-40812230,
20,26,3.4953,4, , , , , , , ,,,45953687726,-43139610,
20,27,3.4783, ,391910.4,B-,100, , , , ,,,46954541134,-42344665,
20,28,3.4771,187,9.15150853263168E+026,2B-,78,2B-,74,B-,22,,,47952522654,-44224868,
20,29, , ,523.08,B-,100, , , , ,,,48955662625,-41300003,
20,30,3.5168, ,13.45,B-,100, , , , ,,,49957499215,-39589230,
20,31, , ,10,B-,100,B-N, , , ,,,50960995663,-36332310,
20,32, , ,4.6,B-,100,B-N, , , ,,,51963213646,-34266272,
20,33, , ,461,B-,100,B-N,40, , ,,,52968451,-29387707,
20,34, , ,107,B-,100,B-2N, ,B-N, ,,,53972989,-25160587,
20,35, , ,22,B-,100,B-N, , , ,,,54979978,-18650375,
20,36, , ,11,B-,100,B-N, , , ,,,55985496,-13510390,
20,37, , ,0.00000062,B-2N, ,B-N, ,B-, ,,,56992958,-6560,
20,38, , ,0.00000062,B-, ,B-N, , , ,,,57998357,-1530,
21,17, , , ,P, , , , , ,,,37995438,-4249,
21,18, , ,0.0000003,P,100, , , , ,,,38984784953,-14172726,
