energy,stop_power,source: https://physics.nist.gov/PhysRefData/Star/Text/ASTAR.html
1.00E-03,3.82E+02,
1.50E-03,3.68E+02,
2.00E-03,3.60E+02,
2.50E-03,3.57E+02,
3.00E-03,3.57E+02,
4.00E-03,3.62E+02,
5.00E-03,3.70E+02,
6.00E-03,3.81E+02,
7.00E-03,3.94E+02,
8.00E-03,4.07E+02,
9.00E-03,4.20E+02,
1.00E-02,4.34E+02,
1.25E-02,4.69E+02,
1.50E-02,5.03E+02,
1.75E-02,5.36E+02,
2.00E-02,5.69E+02,
2.25E-02,6.01E+02,
2.50E-02,6.32E+02,
2.75E-02,6.62E+02,
3.00E-02,6.91E+02,
3.50E-02,7.47E+02,
4.00E-02,8.01E+02,
4.50E-02,8.53E+02,
5.00E-02,9.02E+02,
5.50E-02,9.49E+02,
6.00E-02,9.95E+02,
6.50E-02,1.04E+03,
7.00E-02,1.08E+03,
7.50E-02,1.12E+03,
8.00E-02,1.16E+03,
8.50E-02,1.20E+03,
9.00E-02,1.24E+03,
9.50E-02,1.28E+03,
1.00E-01,1.31E+03,
1.25E-01,1.48E+03,
1.50E-01,1.63E+03,
1.75E-01,1.76E+03,
2.00E-01,1.88E+03,
2.25E-01,1.98E+03,
2.50E-01,2.08E+03,
2.75E-01,2.16E+03,
3.00E-01,2.24E+03,
3.50E-01,2.37E+03,
4.00E-01,2.47E+03,
4.50E-01,2.54E+03,
5.00E-01,2.59E+03,
5.50E-01,2.63E+03,
6.00E-01,2.65E+03,
6.50E-01,2.66E+03,
7.00E-01,2.65E+03,
7.50E-01,2.64E+03,
8.00E-01,2.62E+03,
8.50E-01,2.60E+03,
9.00E-01,2.57E+03,
9.50E-01,2.54E+03,
1.00E+00,2.51E+03,
1.25E+00,2.33E+03,
1.50E+00,2.14E+03,
1.75E+00,1.98E+03,
2.00E+00,1.83E+03,
2.25E+00,1.71E+03,
2.50E+00,1.59E+03,
2.75E+00,1.49E+03,
3.00E+00,1.40E+03,
3.50E+00,1.25E+03,
4.00E+00,1.13E+03,
4.50E+00,1.03E+03,
5.00E+00,9.54E+02,
5.50E+00,8.87E+02,
6.00E+00,8.30E+02,
6.50E+00,7.80E+02,
7.00E+00,7.37E+02,
7.50E+00,6.98E+02,
8.00E+00,6.64E+02,
8.50E+00,6.33E+02,
9.00E+00,6.06E+02,
9.50E+00,5.80E+02,
1.00E+01,5.57E+02,
1.25E+01,4.67E+02,
1.50E+01,4.04E+02,
1.75E+01,3.56E+02,
2.00E+01,3.20E+02,
2.50E+01,2.67E+02,
2.75E+01,2.47E+02,
3.00E+01,2.30E+02,
3.50E+01,2.02E+02,
4.00E+01,1.81E+02,
4.50E+01,1.65E+02,
5.00E+01,1.51E+02,
5.50E+01,1.39E+02,
6.00E+01,1.30E+02,
6.50E+01,1.21E+02,
7.00E+01,1.14E+02,
7.50E+01,1.08E+02,
8.00E+01,1.02E+02,
8.50E+01,9.72E+01,
9.00E+01,9.27E+01,
9.50E+01,8.86E+01,
1.00E+02,8.50E+01,
1.25E+02,7.07E+01,
1.50E+02,6.09E+01,
1.75E+02,5.37E+01,
2.00E+02,4.82E+01,
2.25E+02,4.39E+01,
2.50E+02,4.04E+01,
2.75E+02,3.74E+01,
3.00E+02,3.50E+01,
3.50E+02,3.11E+01,
4.00E+02,2.81E+01,
4.50E+02,2.57E+01,
5.00E+02,2.38E+01,
5.50E+02,2.22E+01,
6.00E+02,2.09E+01,
6.50E+02,1.98E+01,
7.00E+02,1.88E+01,
7.50E+02,1.80E+01,
8.00E+02,1.72E+01,
8.50E+02,1.66E+01,
9.00E+02,1.60E+01,
9.50E+02,1.55E+01,
1.00E+03,1.50E+01,
